043065170089941Hornbach      380VF-7550     2006081520060814                                   710264567                          20060813VL-6779                            4567234                                                                                                          871242300710987124230071098712423007390                                                    DE812231904B01  EUR
24022693605177 34.1286  V&B Subway 6600.10 wandcloset diepsp. wit                                 2        2PCEPCE     296,74    148,37         V          710264567                                                                   VL-6979                                148,377127532             
28717306081290 53.3540  Riko 105 Kniekopperling 15X15                                            10       10PCEPCE      18,80      1,88         V          710264567                                                                   VL-6979                                  1,884149635             
28717306080460 13.3600  Knel kogelkraan volle doorlaat vern.15X15                                 6        6PCEPCE      17,64      2,94         V          710264567                                                                   VL-6979                                  2,945069705             
28713888203037 46.4700  AC200 mechanische thermostaat                                            20       20PCEPCE     219,00     10,95         V          710264567                                                                   VL-6979                                 10,954152484
24005176120770 28.2005  1200100M Grohe Set S-koppelingen 1/2"X3/4"                                6        6PCEPCE      34,08      5,68         V          710264567                                                                   VL-6979                                  5,684199339             
24005681006781 33.3740  Abu Closetaansl.Recht 110X400 Perg                                        6        6PCEPCE      20,52      3,42         V          710264567                                                                   VL-6979                                  3,425030089             
28711238100043 42.3501  Veha Stromingsbuis 1110 X 1/2"                                            2        2PCEPCE      18,84      9,42         V          710264567                                                                   VL-6979                                  9,425091453             
28717306080095 69.3552  Set mess.sold.muurplaatkoppelingen+rozet 3/4"X15                         10       10PCEPCE      38,00      3,80         V          710264567                                                                   VL-6979                                  3,805091901             
28717306080286 69.3606  Mess.sold.muurplaat-beugel Gemini 1/2"x 15cm                             10       10PCEPCE      33,50      3,35         V          710264567                                                                   VL-6979                                  3,355116519
